2025-09-15T14:29:59 ,            0.30s , rows:12, 1a, DUAL, d8uuyf8kta65w, 0, system_under_observation, html , 00009_edb360_1a_6z_711081_1a_1_system_under_observation.html
2025-09-15T14:29:59 ,            0.03s , rows:1, 1a, V$DATABASE, 8qbqznsysdv3h, 0, identification, html , 00010_edb360_1a_6z_711081_1a_2_identification.html
2025-09-15T14:29:59 ,            0.08s , rows:0, 1a, DBA_PDBS, 5khpsqhw5nfh3, 0, pluggable_databases, html , 00011_edb360_1a_6z_711081_1a_3_pluggable_databases.html
2025-09-15T14:29:59 ,            0.03s , rows:0, 1a, DBA_PDB_SAVED_STATES, 4hfdcxzb0wg0k, 0, pluggable_databases_saved_states, html , 00012_edb360_1a_6z_711081_1a_4_pluggable_databases_saved_states.html
2025-09-15T14:29:59 ,            0.15s , rows:1, 1a, DBA_REGISTRY_SQLPATCH, 1z35w596d14rj, 0, registry_sql_patch, html , 00013_edb360_1a_6z_711081_1a_5_registry_sql_patch.html
2025-09-15T14:30:00 ,            0.02s , rows:2, 1a, DBA_REGISTRY_HISTORY, 2wn4px394bnm7, 0, registry_history, html , 00014_edb360_1a_6z_711081_1a_6_registry_history.html
2025-09-15T14:30:00 ,            0.03s , rows:3, 1a, DBA_DB_LINKS, 9rpt1u9q7cm0t, 0, database_links, html , 00015_edb360_1a_6z_711081_1a_7_database_links.html
2025-09-15T14:30:00 ,            0.07s , rows:459, 1a, GV$PARAMETER, f4kjbr6ukjww4, 0, all_parameters, html , 00016_edb360_1a_6z_711081_1a_8_all_parameters.html
2025-09-15T14:30:00 ,            0.03s , rows:0, 1a, PDB_SPFILE$, 9sajmcq45anjx, 0, pdb_parameter_file, html , 00017_edb360_1a_6z_711081_1a_9_pdb_parameter_file.html
2025-09-15T14:30:00 ,            0.05s , rows:19, 1a, GV$SYSTEM_PARAMETER2, as1gtvs59qxt3, 0, memory_configuration, html , 00018_edb360_1a_6z_711081_1a_10_memory_configuration.html
2025-09-15T14:30:00 ,            0.04s , rows:51, 1b, DBA_PROFILES, 2ws65bnnjtr0b, 0, profiles, html , 00019_edb360_1a_6z_711081_1b_11_profiles.html
2025-09-15T14:30:00 ,            0.12s , rows:4, 1b, DBA_USERS_WITH_DEFPWD, 5ys4rspc0r2ba, 0, users_with_default_password, html , 00020_edb360_1a_6z_711081_1b_12_users_with_default_password.html
2025-09-15T14:30:02 ,            1.04s , rows:6, 1b, DBA_TAB_PRIVS, gtntfn4gfbgs9, 0, package_to_public, html , 00021_edb360_1a_6z_711081_1b_13_package_to_public.html
2025-09-15T14:30:02 ,            0.37s , rows:4, 1b, DBA_ROLE_PRIVS, cucwpmjumsrk1, 0, users_with_sensitive_roles_granted, html , 00022_edb360_1a_6z_711081_1b_14_users_with_sensitive_roles_granted.html
2025-09-15T14:30:03 ,            0.89s , rows:108, 1b, DBA_SEGMENTS, 5zaxt0fbpthf0, 0, users_with_objects_in_tablespace_system_sysaux, html , 00023_edb360_1a_6z_711081_1b_15_users_with_objects_in_tablespace_system_sysaux.html
2025-09-15T14:30:03 ,            0.02s , rows:0, 1d, DBA_HIST_MEMORY_RESIZE_OPS, 4wt4bq73shq7n, 0, memory_resize_operations_hist, html , 00024_edb360_1a_6z_711081_1d_16_memory_resize_operations_hist.html
2025-09-15T14:30:03 ,            0.11s , rows:0, 1e, DBA_HIST_ACTIVE_SESS_HISTORY, ac54q31x773ub, 0, cpu_demand_series_percentile_for_instance_1, html , 00025_edb360_1a_6z_711081_1e_17_cpu_demand_series_percentile_for_instance_1.html
2025-09-15T14:30:03 ,            0.10s , rows:0, 1e, DBA_HIST_ACTIVE_SESS_HISTORY, ac54q31x773ub, -1, cpu_demand_series_percentile_for_instance_1, line , 00026_edb360_1a_6z_711081_1e_17_cpu_demand_series_percentile_for_instance_1_line_chart.html
2025-09-15T14:30:04 ,            0.06s , rows:0, 1e, DBA_HIST_ACTIVE_SESS_HISTORY, 2upsxmknbab65, 0, active_sessions_percentile_for_instance_1, html , 00027_edb360_1a_6z_711081_1e_18_active_sessions_percentile_for_instance_1.html
2025-09-15T14:30:04 ,            0.06s , rows:0, 1e, DBA_HIST_ACTIVE_SESS_HISTORY, 2upsxmknbab65, -1, active_sessions_percentile_for_instance_1, line , 00028_edb360_1a_6z_711081_1e_18_active_sessions_percentile_for_instance_1_line_chart.html
2025-09-15T14:30:04 ,            0.15s , rows:0, 1e, DBA_HIST_TBSPC_SPACE_USAGE, 1jtz5j9njssns, 0, tablespace_size_series, html , 00029_edb360_1a_6z_711081_1e_19_tablespace_size_series.html
2025-09-15T14:30:04 ,            0.14s , rows:0, 1e, DBA_HIST_TBSPC_SPACE_USAGE, 1jtz5j9njssns, -1, tablespace_size_series, line , 00030_edb360_1a_6z_711081_1e_19_tablespace_size_series_line_chart.html
2025-09-15T14:30:04 ,            0.12s , rows:0, 1e, DBA_HIST_SYSSTAT, 459vcxybhtwaz, 0, reads_per_second_series_for_instance_1, html , 00031_edb360_1a_6z_711081_1e_20_reads_per_second_series_for_instance_1.html
2025-09-15T14:30:04 ,            0.10s , rows:0, 1e, DBA_HIST_SYSSTAT, 459vcxybhtwaz, -1, reads_per_second_series_for_instance_1, line , 00032_edb360_1a_6z_711081_1e_20_reads_per_second_series_for_instance_1_line_chart.html
2025-09-15T14:30:05 ,            0.09s , rows:0, 1e, DBA_HIST_SYSSTAT, c09p8jq6nk0wf, 0, rmbps_series_for_instance_1, html , 00033_edb360_1a_6z_711081_1e_21_rmbps_series_for_instance_1.html
2025-09-15T14:30:05 ,            0.09s , rows:0, 1e, DBA_HIST_SYSSTAT, c09p8jq6nk0wf, -1, rmbps_series_for_instance_1, line , 00034_edb360_1a_6z_711081_1e_21_rmbps_series_for_instance_1_line_chart.html
2025-09-15T14:30:05 ,            0.09s , rows:0, 1e, DBA_HIST_SYSSTAT, 82h2ffrsp3xx2, 0, writes_per_second_series_for_instance_1, html , 00035_edb360_1a_6z_711081_1e_22_writes_per_second_series_for_instance_1.html
2025-09-15T14:30:05 ,            0.14s , rows:0, 1e, DBA_HIST_SYSSTAT, 82h2ffrsp3xx2, -1, writes_per_second_series_for_instance_1, line , 00036_edb360_1a_6z_711081_1e_22_writes_per_second_series_for_instance_1_line_chart.html
2025-09-15T14:30:05 ,            0.09s , rows:0, 1e, DBA_HIST_SYSSTAT, 29uywpy982bjk, 0, wmbps_series_for_instance_1, html , 00037_edb360_1a_6z_711081_1e_23_wmbps_series_for_instance_1.html
2025-09-15T14:30:05 ,            0.09s , rows:0, 1e, DBA_HIST_SYSSTAT, 29uywpy982bjk, -1, wmbps_series_for_instance_1, line , 00038_edb360_1a_6z_711081_1e_23_wmbps_series_for_instance_1_line_chart.html
2025-09-15T14:30:06 ,            0.06s , rows:0, 2a, DBA_OBJECTS, g5v9u0p68cb0h, 0, invalid_objects, html , 00039_edb360_1a_6z_711081_2a_24_invalid_objects.html
2025-09-15T14:30:11 ,            4.86s , rows:37, 2a, DBA_CONSTRAINTS, a8a4u0s67a3sk, 0, nonindexed_fk_constraints, html , 00040_edb360_1a_6z_711081_2a_25_nonindexed_fk_constraints.html
2025-09-15T14:30:15 ,            3.91s , rows:5, 2a, DBA_INDEXES, 9zt5ctbv0ryqw, 0, redundant_indexes2, html , 00041_edb360_1a_6z_711081_2a_26_redundant_indexes2.html
2025-09-15T14:30:15 ,            0.04s , rows:0, 2a, DBA_JOBS, 442bjmwyvgqra, 0, jobs, html , 00042_edb360_1a_6z_711081_2a_27_jobs.html
2025-09-15T14:30:15 ,            0.19s , rows:22, 2a, DBA_SCHEDULER_JOBS, ffkwb8crsgpv9, 0, scheduler_jobs, html , 00043_edb360_1a_6z_711081_2a_28_scheduler_jobs.html
2025-09-15T14:30:15 ,            0.39s , rows:22, 2a, CDB_SCHEDULER_JOBS, c1535ajnkcfyn, 0, scheduler_jobs_pdbs, html , 00044_edb360_1a_6z_711081_2a_29_scheduler_jobs_pdbs.html
2025-09-15T14:30:16 ,            0.02s , rows:9, 2a, DBA_SCHEDULER_WINDOWS, 0nhfs7a7abbpt, 0, scheduler_windows, html , 00045_edb360_1a_6z_711081_2a_30_scheduler_windows.html
2025-09-15T14:30:16 ,            0.05s , rows:9, 2a, CDB_SCHEDULER_WINDOWS, 40pwnft10uvhr, 0, scheduler_windows_pdbs, html , 00046_edb360_1a_6z_711081_2a_31_scheduler_windows_pdbs.html
2025-09-15T14:30:16 ,            0.03s , rows:28, 2a, DBA_SCHEDULER_WINGROUP_MEMBERS, ahr7avby4xaxp, 0, scheduler_window_group_members, html , 00047_edb360_1a_6z_711081_2a_32_scheduler_window_group_members.html
2025-09-15T14:30:16 ,            0.02s , rows:28, 2a, CDB_SCHEDULER_WINGROUP_MEMBERS, 43nfjn30y4sa0, 0, scheduler_window_group_members_pdbs, html , 00048_edb360_1a_6z_711081_2a_33_scheduler_window_group_members_pdbs.html
2025-09-15T14:30:17 ,            0.98s , rows:3, 2a, DBA_AUTOTASK_CLIENT, 9hkpkwg6byc6z, 0, automated_maintenance_tasks, html , 00049_edb360_1a_6z_711081_2a_34_automated_maintenance_tasks.html
2025-09-15T14:30:19 ,            2.39s , rows:3, 2a, CDB_AUTOTASK_CLIENT, 14hvq33k50un5, 0, automated_maintenance_tasks_pdbs, html , 00050_edb360_1a_6z_711081_2a_35_automated_maintenance_tasks_pdbs.html
2025-09-15T14:30:20 ,            0.10s , rows:0, 2a, DBA_AUTOTASK_CLIENT_HISTORY, 4bcqc9cac36p5, 0, automated_maintenance_tasks_history, html , 00051_edb360_1a_6z_711081_2a_36_automated_maintenance_tasks_history.html
2025-09-15T14:30:20 ,            0.02s , rows:0, 2a, DBA_SCHEDULER_JOB_RUN_DETAILS, 5wxwv20r3rszx, 0, scheduler_jobs_run_details, html , 00052_edb360_1a_6z_711081_2a_37_scheduler_jobs_run_details.html
2025-09-15T14:30:20 ,            0.61s , rows:90, 2a, CDB_AUTOTASK_CLIENT_HISTORY, b5x5xxdtgdn25, 0, automated_maintenance_tasks_history_pdbs, html , 00053_edb360_1a_6z_711081_2a_38_automated_maintenance_tasks_history_pdbs.html
2025-09-15T14:30:21 ,            0.04s , rows:0, 2a, DBA_HIST_ACTIVE_SESS_HISTORY, ckg2pkq0vc5z2, 0, top_sql_by_temp_space_usage, html , 00054_edb360_1a_6z_711081_2a_39_top_sql_by_temp_space_usage.html
2025-09-15T14:30:21 ,            0.02s , rows:0, 2a, DBA_HIST_ACTIVE_SESS_HISTORY, c6cr7ymkybw3s, 0, top_sql_by_pga_allocated_memory, html , 00055_edb360_1a_6z_711081_2a_40_top_sql_by_pga_allocated_memory.html
